cycle_number,severity,qqq_ath_date,qqq_ath_price,qqq_low_date,qqq_low_price,qqq_recovery_date,qqq_recovery_price,qqq_drawdown_pct,qqq_dd_duration_days,qqq_recovery_duration_days,qqq_total_duration_days,qqq_dd_change_pct,qqq_recovery_change_pct,tqqq_ath_price,tqqq_low_price,tqqq_recovery_price,tqqq_drawdown_pct,tqqq_dd_change_pct,tqqq_recovery_change_pct
1,Mild,1999-03-11,43.4977,1999-03-12,42.4471,1999-03-15,43.6631,-2.41530011931666,1,3,4,-2.41530011931666,2.8647422320959524,,,,,,
2,Mild,1999-03-18,44.5647,1999-03-23,41.3851,1999-03-29,45.4663,-7.1347950283520385,5,6,11,-7.1347950283520385,9.861520208964086,,,,,,
3,Mild,1999-03-29,45.4663,1999-03-31,44.4805,1999-04-05,47.0561,-2.1681993036600686,2,5,7,-2.1681993036600686,5.79040253594272,,,,,,
4,Moderate,1999-04-09,47.3124,1999-04-19,41.9901,1999-04-26,47.9763,-11.249270804271182,10,7,17,-11.249270804271182,14.256217536990873,,,,,,
5,Moderate,1999-04-26,47.9763,1999-05-25,42.2562,1999-06-21,48.0828,-11.92276186367019,29,27,56,-11.92276186367019,13.788745793516687,,,,,,
6,Mild,1999-06-21,48.0828,1999-06-25,46.3679,1999-06-29,48.1169,-3.566556024191603,4,4,8,-3.566556024191603,3.7720060645403444,,,,,,
7,Moderate,1999-07-16,52.0386,1999-08-10,45.8959,1999-08-25,52.1423,-11.804122324582146,25,15,40,-11.804122324582146,13.609930298784862,,,,,,
8,Mild,1999-08-25,52.1423,1999-08-30,50.0475,1999-09-03,53.1203,-4.017467583900211,5,4,9,-4.017467583900211,6.139767221139919,,,,,,
9,Mild,1999-09-10,53.5208,1999-09-16,52.116,1999-09-17,53.6744,-2.6247739196723545,6,1,7,-2.6247739196723545,2.9902525136234535,,,,,,
10,Mild,1999-09-20,53.8065,1999-09-29,50.4909,1999-10-08,54.057,-6.162080789495686,9,9,18,-6.162080789495686,7.062856871238181,,,,,,
11,Mild,1999-10-11,54.8169,1999-10-18,50.1191,1999-10-29,55.7448,-8.569984803956434,7,11,18,-8.569984803956434,11.224662853083943,,,,,,
