cycle_number,severity,qqq_ath_date,qqq_ath_price,qqq_low_date,qqq_low_price,qqq_recovery_date,qqq_recovery_price,qqq_drawdown_pct,qqq_dd_duration_days,qqq_recovery_duration_days,qqq_total_duration_days,qqq_dd_change_pct,qqq_recovery_change_pct,tqqq_ath_price,tqqq_low_price,tqqq_recovery_price,tqqq_drawdown_pct,tqqq_dd_change_pct,tqqq_recovery_change_pct
12,Mild,1999-11-26,65.8669,1999-11-30,62.3184,1999-12-03,67.0799,-5.3873797005779895,4,3,7,-5.3873797005779895,7.64060052889676,,,,,,
13,Moderate,2000-01-03,80.3374,2000-01-06,67.911,2000-01-19,81.3889,-15.467764702367765,3,13,16,-15.467764702367765,19.846416633535075,,,,,,
14,Moderate,2000-01-21,81.6044,2000-01-28,72.9132,2000-02-03,81.8195,-10.650406105553126,7,6,13,-10.650406105553126,12.214935018624887,,,,,,
15,Mild,2000-02-08,87.0091,2000-02-18,83.4612,2000-02-23,88.3841,-4.077619467389041,10,5,15,-4.077619467389041,5.898429449852145,,,,,,
16,Mild,2000-02-24,90.291,2000-02-28,88.1756,2000-02-29,90.5123,-2.3428691674696194,4,1,5,-2.3428691674696194,2.650052849087495,,,,,,
17,Mild,2000-03-01,91.2506,2000-03-02,89.1301,2000-03-03,94.1579,-2.323820336523822,1,1,2,-2.323820336523822,5.640967529487793,,,,,,
18,Moderate,2000-03-09,97.491,2000-03-15,87.2214,2000-03-23,98.3624,-10.533895436501828,6,8,14,-10.533895436501828,12.773241429282253,,,,,,
19,Severe,2000-03-27,99.8201,2002-10-09,17.0068,2015-02-20,100.05,-82.96254962677858,926,4517,5443,-82.96254962677858,488.2940941270551,,,4.629,,,
20,Mild,2015-03-02,100.973,2015-03-11,97.0352,2015-04-24,102.288,-3.899854416527186,9,44,53,-3.899854416527186,5.413293320362088,4.752,4.2095,4.88,-11.416245791245782,-11.416245791245782,15.92825751276873
21,Mild,2015-04-24,102.288,2015-05-06,98.7366,2015-05-21,102.326,-3.471961520412953,12,15,27,-3.471961520412953,3.6353287433433983,4.88,4.3838,4.864,-10.168032786885245,-10.168032786885245,10.953966878051006
22,Mild,2015-05-27,102.657,2015-06-09,99.922,2015-06-23,102.736,-2.664211890080559,13,14,27,-2.664211890080559,2.816196633374039,4.908,4.5228,4.902,-7.848410757946215,-7.848410757946215,8.38418678694614
23,Mild,2015-06-23,102.736,2015-07-09,98.3256,2015-07-16,103.804,-4.292945024139551,16,7,23,-4.292945024139551,5.571692417844395,4.902,4.2768,5.01,-12.753977968176264,-12.753977968176264,17.14365881032548
24,Moderate,2015-07-20,105.685,2015-08-25,90.9632,2015-10-28,105.963,-13.929885981927429,36,64,100,-13.929885981927429,16.489965172729185,5.2975,3.3248,5.063,-37.238319962246344,-37.238319962246344,52.279836381135695
25,Mild,2015-11-04,106.912,2015-11-13,102.128,2015-12-01,107.04,-4.474708171206231,9,18,27,-4.474708171206231,4.809650634497891,5.1965,4.518,5.1905,-13.05686519772925,-13.05686519772925,14.884904825143877
26,Moderate,2015-12-01,107.04,2016-02-09,89.8112,2016-07-27,107.444,-16.09566517189836,70,169,239,-16.09566517189836,19.633186061426642,5.1905,2.9382,4.823,-43.39273673056546,-43.39273673056546,64.14811789531007
27,Mild,2016-09-07,110.561,2016-09-09,107.147,2016-09-21,111.069,-3.087888134152189,2,12,14,-3.087888134152189,3.6603917981838006,5.241,4.76,5.285,-9.177637855371112,-9.177637855371112,11.029411764705891
28,Mild,2016-10-10,112.079,2016-10-17,109.805,2016-10-24,112.423,-2.0289260253927917,7,7,14,-2.0289260253927917,2.384226583488908,5.412,5.093,5.452,-5.89430894308943,-5.89430894308943,7.048890634203808
29,Mild,2016-10-24,112.423,2016-11-04,106.817,2016-12-13,113.244,-4.986524109835184,11,39,50,-4.986524109835184,6.0168325266577485,5.452,4.6715,5.517,-14.31584739545121,-14.31584739545121,18.099111634378687
30,Mild,2017-05-16,131.891,2017-05-17,128.567,2017-05-24,132.037,-2.5202629444010465,1,7,8,-2.5202629444010465,2.6989818538194084,8.5635,7.916,8.5645,-7.561160740351482,-7.561160740351482,8.192268822637699
31,Mild,2017-06-08,135.657,2017-07-03,129.059,2017-07-19,136.39,-4.863737219605337,25,16,41,-4.863737219605337,5.6803477479292335,9.258,7.8965,9.299,-14.706200043205872,-14.706200043205872,17.761033369214207
32,Mild,2017-07-26,137.234,2017-08-10,133.608,2017-08-31,138.49,-2.6422023696751564,15,21,36,-2.6422023696751564,3.6539728159990457,9.462,8.697,9.603,-8.0849714648066,-8.0849714648066,10.417385305277689
33,Mild,2017-09-13,138.686,2017-09-25,135.587,2017-10-05,139.999,-2.234544222199802,12,10,22,-2.234544222199802,3.253999277216847,9.66,9.012,9.89,-6.708074534161487,-6.708074534161487,9.742565468264537
34,Mild,2017-11-28,148.664,2017-12-04,144.979,2017-12-15,149.586,-2.4787440133455134,6,11,17,-2.4787440133455134,3.177701598162492,11.729,10.862,11.908,-7.391934521272053,-7.391934521272053,9.6299024120788
35,Moderate,2018-01-26,162.635,2018-02-08,146.017,2018-03-09,164.752,-10.217972761090783,13,29,42,-10.217972761090783,12.830697795462182,15.135,10.812,15.28,-28.56293359762141,-28.56293359762141,41.3244543100259
36,Moderate,2018-03-12,165.615,2018-04-02,148.186,2018-06-04,166.115,-10.523805210880658,21,63,84,-10.523805210880658,12.098983709662182,15.508,10.906,14.967,-29.675006448284748,-29.675006448284748,37.2363836420319
37,Mild,2018-06-20,169.301,2018-06-27,162.113,2018-07-10,169.37,-4.2456925830325805,7,13,20,-4.2456925830325805,4.476507127744231,15.803,13.844,15.701,-12.3963804340948,-12.3963804340948,13.413753250505641
38,Mild,2018-07-25,174.603,2018-07-30,167.231,2018-08-27,176.045,-4.222149676695139,5,28,33,-4.222149676695139,5.270553904479429,17.136,15.027,17.4,-12.307422969187677,-12.307422969187677,15.79157516470353
39,Severe,2018-08-29,178.349,2018-12-24,137.686,2019-04-12,178.631,-22.799679280511796,117,109,226,-22.799679280511796,29.73795447612683,18.088,7.582,15.612,-58.08270676691729,-58.08270676691729,105.90873120548669
40,Moderate,2019-05-03,183.69,2019-06-03,163.526,2019-07-03,184.416,-10.977189830693009,31,30,61,-10.977189830693009,12.77472695473502,16.886,11.748,16.607,-30.427573137510365,-30.427573137510365,41.36023152877086
41,Mild,2019-07-26,188.132,2019-08-05,174.103,2019-10-25,188.837,-7.456998277804944,10,81,91,-7.456998277804944,8.462806499600799,17.511,13.805,16.949,-21.163839872080406,-21.163839872080406,22.774357116986614
42,Mild,2019-11-27,198.877,2019-12-03,194.424,2019-12-12,199.347,-2.2390723914781514,6,9,15,-2.2390723914781514,2.532094803110728,19.693,18.381,19.78,-6.6622657797186875,-6.6622657797186875,7.611120178445138
43,Mild,2020-01-23,217.266,2020-01-27,210.991,2020-02-04,220.061,-2.888164738155062,4,8,12,-2.888164738155062,4.298761558549887,25.365,23.18,26.158,-8.614232209737823,-8.614232209737823,12.847282139775675
44,Severe,2020-02-19,229.255,2020-03-16,163.79,2020-06-03,229.482,-28.555538592397113,26,79,105,-28.555538592397113,40.10745466756213,29.515,9.3125,21.655,-68.4482466542436,-68.4482466542436,132.53691275167787
45,Mild,2020-06-10,238.715,2020-06-11,226.903,2020-06-22,239.647,-4.9481599396770255,1,11,12,-4.9481599396770255,5.616496917184877,24.332,20.75,24.315,-14.721354594772318,-14.721354594772318,17.180722891566273
46,Mild,2020-06-23,241.695,2020-06-26,233.321,2020-07-01,243.294,-3.4646972423922695,3,5,8,-3.4646972423922695,4.274368788064518,24.95,22.37,25.285,-10.340681362725444,-10.340681362725444,13.03084488153777
47,Mild,2020-07-10,256.372,2020-07-13,251.107,2020-07-20,259.118,-2.0536564055357114,3,7,10,-2.0536564055357114,3.190273469078917,29.538,27.712,30.34,-6.181867425011851,-6.181867425011851,9.48325635103926
48,Mild,2020-07-20,259.118,2020-07-24,248.215,2020-08-03,261.646,-4.207735471869956,4,10,14,-4.207735471869956,5.411034788389102,30.34,26.572,30.958,-12.419248516809494,-12.419248516809494,16.506096643082945
49,Mild,2020-08-06,266.742,2020-08-11,257.557,2020-08-17,267.41,-3.4434022388675203,5,6,11,-3.4434022388675203,3.8255609437910865,32.82,29.542,32.935,-9.987812309567333,-9.987812309567333,11.485342901631578
50,Moderate,2020-09-02,294.055,2020-09-23,256.94,2020-12-01,295.172,-12.621788440937923,21,69,90,-12.621788440937923,14.879738460340947,43.632,28.198,41.058,-35.37312064539787,-35.37312064539787,45.60607135257819
51,Mild,2020-12-08,299.867,2020-12-09,293.083,2020-12-16,300.533,-2.2623363024274066,1,7,8,-2.2623363024274066,2.541942043721399,42.998,40.118,43.178,-6.697985952835005,-6.697985952835005,7.627498878308976
52,Mild,2021-01-08,310.877,2021-01-15,303.886,2021-01-20,315.505,-2.2487993643788333,7,5,12,-2.2487993643788333,3.8234732761627614,47.57,44.342,49.49,-6.785789363043938,-6.785789363043938,11.609760497947777
53,Mild,2021-01-26,320.189,2021-01-29,306.523,2021-02-04,321.796,-4.268104150985823,3,6,9,-4.268104150985823,4.982660355014132,51.71,45.235,52.105,-12.521755946625412,-12.521755946625412,15.187354924284287
54,Moderate,2021-02-12,327.845,2021-03-08,292.27,2021-04-09,328.903,-10.85116442221173,24,32,56,-10.85116442221173,12.533958326205235,55.055,38.3,53.635,-30.43320316047589,-30.43320316047589,40.03916449086162
55,Mild,2021-04-16,333.689,2021-05-12,309.17,2021-06-14,336.118,-7.347859833557595,26,33,59,-7.347859833557595,8.716240256169737,55.905,44.125,56.14,-21.071460513370898,-21.071460513370898,27.22946175637394
56,Mild,2021-07-14,354.647,2021-07-19,346.444,2021-07-22,355.51,-2.3130041985410776,5,3,8,-2.3130041985410776,2.616873145443412,65.705,61.26,66.085,-6.765086370900236,-6.765086370900236,7.876265099575573
57,Mild,2021-08-05,361.087,2021-08-18,353.804,2021-08-23,364.569,-2.016965440461721,13,5,18,-2.016965440461721,3.0426450803269733,69.115,64.94,70.925,-6.040656876220788,-6.040656876220788,9.216199568832769
58,Mild,2021-09-07,373.234,2021-10-04,344.815,2021-10-28,375.714,-7.614258079381832,27,24,51,-7.614258079381832,8.96103707785334,76.035,59.52,76.45,-21.720260406391787,-21.720260406391787,28.444220430107524
59,Mild,2021-11-05,389.772,2021-11-10,380.88,2021-11-18,392.858,-2.2813337027800857,5,8,13,-2.2813337027800857,3.1448225162780954,85.28,79.535,87.095,-6.73663227016886,-6.73663227016886,9.505249261331493
60,Mild,2021-11-19,395.055,2021-12-20,372.735,2021-12-27,395.055,-5.6498462239435,31,7,38,-5.6498462239435,5.988168537969333,88.57,73.145,86.695,-17.415603477475443,-17.415603477475443,18.524847904846535
61,Severe,2021-12-27,395.055,2022-11-03,256.313,2023-12-13,399.958,-35.11966688182658,311,405,716,-35.11966688182658,56.04280703670904,86.695,17.15,48.74,-80.21800565199838,-80.21800565199838,184.198250728863
62,Mild,2023-12-27,408.46,2024-01-04,393.353,2024-01-18,409.939,-3.6985261714733317,8,14,22,-3.6985261714733317,4.216568832575324,51.54,45.81,51.56,-11.117578579743883,-11.117578579743883,12.551844575420212
63,Mild,2024-01-29,424.987,2024-01-31,413.891,2024-02-02,425.842,-2.6109033923390603,2,2,4,-2.6109033923390603,2.88747520482445,57.07,52.64,57.24,-7.762397056246714,-7.762397056246714,8.73860182370821
64,Mild,2024-02-09,433.822,2024-02-21,422.467,2024-02-22,434.834,-2.6174329563738166,12,1,13,-2.6174329563738166,2.927329235182871,60.27,55.38,60.17,-8.113489298158289,-8.113489298158289,8.649331888768506
65,Mild,2024-03-01,442.319,2024-03-15,430.716,2024-03-21,443.162,-2.6232198933349027,14,6,20,-2.6232198933349027,2.889607072873998,63.13,57.76,62.5,-8.506256930144154,-8.506256930144154,8.206371191135737
66,Mild,2024-03-22,443.67,2024-04-19,412.132,2024-05-15,450.15,-7.1084364505150255,28,26,54,-7.1084364505150255,9.224714411887447,62.63,49.46,63.47,-21.028261216669332,-21.028261216669332,28.325919935301247
67,Mild,2024-06-18,482.264,2024-06-24,471.83,2024-07-02,484.791,-2.1635452781049436,6,8,14,-2.1635452781049436,2.746963948879896,76.9,71.88,77.33,-6.527958387516268,-6.527958387516268,7.582081246521985
68,Moderate,2024-07-10,500.7,2024-08-07,432.816,2024-11-06,504.015,-13.557819053325348,28,91,119,-13.557819053325348,16.45017744260841,84.93,53.19,78.86,-37.37195337336631,-37.37195337336631,48.26095130663659
69,Mild,2024-11-08,512.549,2024-11-15,495.033,2024-12-02,513.695,-3.417429357973572,7,17,24,-3.417429357973572,3.7698496867885645,82.75,74.27,82.48,-10.247734138972813,-10.247734138972813,11.054261478389671
70,Mild,2024-12-16,536.504,2025-01-14,504.328,2025-02-14,537.349,-5.997345779341821,29,31,60,-5.997345779341821,6.547524626830173,93.29,75.76,89.83,-18.790867188337444,-18.790867188337444,18.57180570221752
71,Severe,2025-02-19,538.717,2025-04-08,416.06,2025-06-24,539.78,-22.768355184633116,48,77,125,-22.768355184633116,29.736095755419882,90.4,38.9,78.1,-56.96902654867257,-56.96902654867257,100.77120822622108
72,Mild,2025-07-28,568.14,2025-08-01,553.88,2025-08-07,569.24,-2.5099447319322685,4,6,10,-2.5099447319322685,2.773163862208423,89.785,82.92,89.74,-7.646043325722554,-7.646043325722554,8.224794983116249
